ID,Title,Year,Age,Rotten Tomatoes
320,Extinction,2018,17+,74/100
321,Nobody Knows I'm Here,2020,17+,74/100
322,ARQ,2016,17+,74/100
323,Ali's Wedding,2017,17+,74/100
324,Bo Burnham: Make Happy,2016,17+,74/100
325,Mank,2020,17+,74/100
326,"Extremely Wicked, Shockingly Evil and Vile",2019,17+,74/100
327,Due Date,2010,17+,74/100
328,Between Two Ferns: The Movie,2019,17+,74/100
329,Ip Man 2,2010,17+,74/100
330,Mirage,2018,17+,74/100
331,Puss in Boots,2011,SU,74/100
332,Austin Powers in Goldmember,2002,13+,74/100
333,The Kissing Booth,2018,17+,73/100
334,Hush,2016,17+,73/100
335,Lost Bullet,2020,17+,73/100
336,Dil Chahta Hai,2001,SU,73/100
337,Soni,2019,17+,73/100
338,Bāhubali: The Beginning,2015,13+,73/100
339,Killing Them Softly,2012,17+,73/100
340,Swordfish,2001,17+,73/100
341,Wish Dragon,2021,SU,73/100
342,Raees,2017,17+,73/100
343,Let It Snow,2019,13+,73/100
344,The Babysitter: Killer Queen,2020,17+,73/100
345,Hardcore Henry,2015,17+,73/100
346,Tig Notaro: Happy To Be Here,2018,17+,73/100
347,Spelling the Dream,2020,SU,73/100
348,Knock Down the House,2019,SU,73/100
349,Resident Evil: Extinction,2007,17+,73/100
350,Polar,2019,17+,73/100
351,Saving Capitalism,2017,SU,73/100
352,The Untold Tales of Armistead Maupin,2017,17+,73/100
353,The Mitchells vs. The Machines,2021,SU,73/100
354,Spenser Confidential,2020,17+,73/100
355,Psychokinesis,2018,13+,73/100
356,Monsters vs Aliens,2009,SU,73/100
357,Twilight,2008,13+,73/100
358,Self/less,2015,13+,73/100
359,The Highwaymen,2019,17+,73/100
360,ParaNorman,2012,SU,73/100
361,Holidate,2020,21+,73/100
362,Fear Street Part Two: 1978,2021,17+,73/100
363,Pee-wee's Big Holiday,2016,SU,73/100
364,Gunpowder Milkshake,2021,17+,73/100
365,"Michael Bolton's Big, Sexy Valentine's Day Special",2017,17+,73/100
366,I Am Not Your Negro,2017,17+,73/100
367,Midnight Special,2016,13+,73/100
368,Layla M.,2016,21+,73/100
369,Homefront,2013,17+,73/100
370,The Squid and the Whale,2005,17+,73/100
371,Comedian,2002,17+,73/100
372,No Escape,2015,17+,73/100
373,Mercury 13,2018,13+,73/100
374,The Professor and the Madman,2019,17+,73/100
375,Asperger's Are Us,2016,13+,73/100
376,The Garden of Words,2013,13+,73/100
377,Fractured,2019,17+,73/100
378,The Queen,2006,13+,73/100
379,E-Team,2014,17+,72/100
380,The Discovery,2017,17+,72/100
381,The Strangers,2008,17+,72/100
382,Penguins of Madagascar,2014,SU,72/100
383,She's Out of My League,2010,17+,72/100
384,Voyeur,2017,17+,72/100
385,It Comes at Night,2017,17+,72/100
386,The Manchurian Candidate,2004,17+,72/100
387,Bon Cop Bad Cop 2,2017,17+,72/100
388,Hot Rod,2007,13+,72/100
389,The BFG,2016,SU,72/100
390,Sunday's Illness,2018,13+,72/100
391,The Lorax,2012,SU,72/100
392,Win It All,2017,17+,72/100
393,Mile 22,2018,17+,72/100
394,Tenacious D in The Pick of Destiny,2006,17+,72/100
395,The Sum of All Fears,2002,13+,72/100
396,G.O.R.A.,2004,13+,72/100
397,The Perfect Date,2019,17+,72/100
398,Code 8,2019,17+,72/100
399,Cowspiracy: The Sustainability Secret,2014,13+,72/100
400,Life As We Know It,2010,13+,72/100
401,American Assassin,2017,17+,72/100
402,August: Osage County,2013,17+,72/100
403,Who Am I,2014,17+,72/100
404,Free State of Jones,2016,17+,72/100
405,Beast Stalker,2008,17+,72/100
406,Dark Skies,2013,17+,72/100
407,Safe Haven,2013,13+,72/100
408,Bāhubali 2: The Conclusion,2017,SU,72/100
409,Outlaw King,2018,17+,72/100
